ture,toa,pred,aod,class,inf
0.19644,0.18,0.21358562,-0.016497001,10.0,0.19644
0.2053775,0.1882,0.22775574,-0.028862659,12.0,0.2053775
0.1573075,0.14668,0.17456679,0.010416612,12.0,0.1573075
0.17477,0.16002,0.19351996,0.009497455,9.0,0.17477
0.321455,0.28958,0.35189912,0.057261758,10.0,0.321455
0.2396975,0.21762,0.26241735,-0.028072698,12.0,0.2396975
0.1611025,0.14968,0.17942679,-0.024376223,12.0,0.1611025
0.191215,0.17504,0.20959729,0.048965193,10.0,0.191215
0.3377625,0.30304,0.36689577,-0.0061593573,9.0,0.3377625
0.1949,0.17988,0.21606694,-0.020874912,10.0,0.1949
0.2473425,0.22474,0.27572978,-0.02638355,12.0,0.2473425
0.299235,0.27056,0.33142185,-0.0148579,12.0,0.299235
0.1711675,0.15712,0.1874992,0.028445702,12.0,0.1711675
0.2014175,0.18424,0.21997084,0.010767137,12.0,0.2014175
0.203865,0.18722,0.22775574,-0.033276547,12.0,0.203865
0.3686725,0.33072,0.40256658,-0.0061593573,9.0,0.3686725
0.292855,0.26442,0.3218885,-0.03776317,9.0,0.292855
0.1949275,0.17926,0.21468545,0.006955145,12.0,0.1949275
0.2026,0.18546,0.22129121,0.02924745,12.0,0.2026
0.300225,0.26978,0.32733303,-0.058414392,9.0,0.300225
0.30182,0.27294,0.33357882,-0.0061593573,10.0,0.30182
0.3580575,0.32096,0.3916073,-0.03776317,9.0,0.3580575
0.19457,0.18054,0.21613336,-0.04318027,12.0,0.19457
0.1689675,0.15522,0.1856706,0.071388945,10.0,0.1689675
0.119935,0.11404,0.13415536,0.003662421,10.0,0.119935
0.2968425,0.27012,0.32970187,-0.006828293,12.0,0.2968425
0.24649,0.22588,0.27474335,-0.0053356495,12.0,0.24649
0.35275,0.31896,0.39814377,-0.0045167003,12.0,0.35275
0.292745,0.26596,0.3232527,0.102792226,12.0,0.292745
0.145785,0.13674,0.16257076,0.017926365,10.0,0.145785
0.1153425,0.11054,0.12993449,-0.007735043,12.0,0.1153425
0.1464175,0.13556,0.16111198,0.025964279,12.0,0.1464175
0.35099,0.31478,0.38733846,-0.010419403,9.0,0.35099
0.32866,0.29696,0.359039,-0.0045167003,10.0,0.32866
0.176585,0.1626,0.19468983,-0.023353638,12.0,0.176585
0.12934,0.12204,0.14589162,-0.0029316896,12.0,0.12934
0.230045,0.2094,0.25257704,-0.014904391,12.0,0.230045
0.241265,0.21836,0.26417494,-0.01842677,12.0,0.241265
0.3160925,0.28716,0.35101357,-0.0008970963,10.0,0.3160925
0.1703975,0.15724,0.19103183,0.013236658,12.0,0.1703975
0.200455,0.1846,0.21997084,0.056271195,12.0,0.200455
0.256115,0.23224,0.28113404,0.012893276,10.0,0.256115
0.23351,0.2132,0.2586465,0.014313488,12.0,0.23351
0.1326125,0.1237,0.14584078,-8.118474e-05,12.0,0.1326125
0.29995,0.27154,0.32970187,-0.012718561,12.0,0.29995
0.252815,0.22954,0.28113404,0.10293161,12.0,0.252815
